x-axis,2
second,Volt
-100.8000E-03,-2.4121E-03
-100.7000E-03,+1.4780E-03
-100.6000E-03,-6.9244E-03
-100.5000E-03,-2.7226E-03
-100.4000E-03,-9.1020E-03
-100.3000E-03,-7.2362E-03
-100.2000E-03,-2.6466E-03
-100.1000E-03,-16.9697E-03
-100.0000E-03,-2.4121E-03
-99.9000E-03,-2.4121E-03
-99.8000E-03,-2.5694E-03
-99.7000E-03,-10.6653E-03
-99.6000E-03,+2.0370E-03
-99.5000E-03,-4.1217E-03
-99.4000E-03,-11.7399E-03
-99.3000E-03,-3.7397E-03
-99.2000E-03,-9.4823E-03
-99.1000E-03,-8.9343E-03
-99.0000E-03,-2.4178E-03
-98.9000E-03,-1.2389E-03
-98.8000E-03,-4.8956E-03
-98.7000E-03,-7.2362E-03
-98.6000E-03,-30.3906E-03
-98.5000E-03,-5.1463E-03
-98.4000E-03,-5.9172E-03
-98.3000E-03,-7.7070E-03
-98.2000E-03,-2.2605E-03
-98.1000E-03,-12.1508E-03
-98.0000E-03,+4.5688E-03
-97.9000E-03,-9.3560E-03
-97.8000E-03,+10.4591E-03
-97.7000E-03,-6.2440E-03
-97.6000E-03,-14.2109E-03
-97.5000E-03,-6.6035E-03
-97.4000E-03,-6.3183E-03
-97.3000E-03,-5.9351E-03
-97.2000E-03,-5.6856E-03
-97.1000E-03,-9.4091E-03
-97.0000E-03,-1.3756E-03
-96.9000E-03,-7.2362E-03
-96.8000E-03,-6.4519E-03
-96.7000E-03,-4.9861E-03
-96.6000E-03,-5.2845E-03
-96.5000E-03,-4.5775E-03
-96.4000E-03,-5.1151E-03
-96.3000E-03,-9.3941E-03
-96.2000E-03,-7.2362E-03
-96.1000E-03,-2.3198E-03
-96.0000E-03,-4.8241E-03
-95.9000E-03,-4.8241E-03
-95.8000E-03,+16.1752E-03
-95.7000E-03,-3.5870E-03
-95.6000E-03,+754.2E-06
-95.5000E-03,-4.8241E-03
-95.4000E-03,-3.1041E-03
-95.3000E-03,-3.7264E-03
-95.2000E-03,-3.8733E-03
-95.1000E-03,-2.2651E-03
-95.0000E-03,-1.5385E-03
-94.9000E-03,-4.8241E-03
-94.8000E-03,+6.8609E-03
-94.7000E-03,-3.0844E-03
-94.6000E-03,-5.6706E-03
-94.5000E-03,-417.8E-06
-94.4000E-03,-6.9152E-03
-94.3000E-03,-3.3174E-03
-94.2000E-03,-1.1295E-03
-94.1000E-03,-4.8241E-03
-94.0000E-03,-4.8241E-03
-93.9000E-03,+2.1306E-03
-93.8000E-03,-4.8241E-03
-93.7000E-03,-3.9898E-03
-93.6000E-03,-4.6576E-03
-93.5000E-03,-4.8241E-03
-93.4000E-03,-2.1562E-03
-93.3000E-03,+2.6891E-03
-93.2000E-03,-4.9135E-03
-93.1000E-03,-4.2911E-03
-93.0000E-03,-2.4121E-03
-92.9000E-03,-4.8241E-03
-92.8000E-03,-36.4E-06
-92.7000E-03,-1.8019E-03
-92.6000E-03,-6.0566E-03
-92.5000E-03,-6.6789E-03
-92.4000E-03,-2.6073E-03
-92.3000E-03,-9.9981E-03
-92.2000E-03,-3.3070E-03
-92.1000E-03,-6.7562E-03
-92.0000E-03,-4.9664E-03
-91.9000E-03,-1.5292E-03
-91.8000E-03,+0.0E+00
-91.7000E-03,-4.0233E-03
-91.6000E-03,-7.8947E-03
-91.5000E-03,+0.0E+00
-91.4000E-03,-8.0995E-03
-91.3000E-03,-2.0865E-03
-91.2000E-03,-2.4121E-03
-91.1000E-03,-3.9051E-03
-91.0000E-03,-1.7414E-03
-90.9000E-03,-4.0790E-03
-90.8000E-03,+747.9E-06
-90.7000E-03,-2.9888E-03
-90.6000E-03,-6.4427E-03
-90.5000E-03,-9.4771E-03
-90.4000E-03,-3.6092E-03
-90.3000E-03,-7.7664E-03
-90.2000E-03,-3.6548E-03
-90.1000E-03,+563.8E-06
-90.0000E-03,-4.8241E-03
-89.9000E-03,-1.0400E-03
-89.8000E-03,+144.2E-06
-89.7000E-03,-4.7906E-03
-89.6000E-03,-6.6306E-03
-89.5000E-03,-4.8241E-03
-89.4000E-03,-4.2623E-03
-89.3000E-03,-25.9280E-03
-89.2000E-03,-4.1413E-03
-89.1000E-03,-1.1070E-03
-89.0000E-03,-8.6790E-03
-88.9000E-03,-688.4E-06
-88.8000E-03,+20.0889E-03
-88.7000E-03,-3.1172E-03
-88.6000E-03,+6.3888E-03
-88.5000E-03,-2.4121E-03
-88.4000E-03,-3.1497E-03
-88.3000E-03,-25.8413E-03
-88.2000E-03,+3.8335E-03
-88.1000E-03,+10.0156E-03
-88.0000E-03,-3.9097E-03
-87.9000E-03,-7.2362E-03
-87.8000E-03,-4.8241E-03
-87.7000E-03,-369.3E-06
-87.6000E-03,-2.4121E-03
-87.5000E-03,-1.6317E-03
-87.4000E-03,-4.9999E-03
-87.3000E-03,-1.9655E-03
