second,Volt
-81.000E-03,-2.649E-03
-80.900E-03,-5.422E-03
-80.800E-03,+3.661E-03
-80.700E-03,-4.583E-03
-80.600E-03,-7.093E-03
-80.500E-03,-5.486E-03
-80.400E-03,-4.020E-03
-80.300E-03,-2.503E-03
-80.200E-03,-6.030E-03
-80.100E-03,-4.500E-03
-80.000E-03,-4.020E-03
-79.900E-03,-2.010E-03
-79.800E-03,-2.010E-03
-79.700E-03,-5.548E-03
-79.600E-03,-6.237E-03
-79.500E-03,-4.020E-03
-79.400E-03,-4.020E-03
-79.300E-03,-4.020E-03
-79.200E-03,-6.030E-03
-79.100E-03,-2.648E-03
-79.000E-03,-5.225E-03
-78.900E-03,-4.307E-03
-78.800E-03,+1.314E-03
-78.700E-03,-4.771E-03
-78.600E-03,-1.482E-03
-78.500E-03,-2.455E-03
-78.400E-03,-5.734E-03
-78.300E-03,-8.801E-03
-78.200E-03,-5.354E-03
-78.100E-03,-6.188E-03
-78.000E-03,-4.020E-03
-77.900E-03,-4.899E-03
-77.800E-03,-4.020E-03
-77.700E-03,-3.552E-03
-77.600E-03,-4.020E-03
-77.500E-03,-4.964E-03
-77.400E-03,-5.298E-03
-77.300E-03,-3.873E-03
-77.200E-03,-2.010E-03
-77.100E-03,-12.032E-03
-77.000E-03,-4.504E-03
-76.900E-03,-6.030E-03
-76.800E-03,-4.574E-03
-76.700E-03,-4.020E-03
-76.600E-03,-4.020E-03
-76.500E-03,-4.119E-03
-76.400E-03,-4.020E-03
-76.300E-03,-4.894E-03
-76.200E-03,-4.020E-03
-76.100E-03,-4.020E-03
-76.000E-03,-4.020E-03
-75.900E-03,-5.221E-03
-75.800E-03,-6.030E-03
-75.700E-03,-3.792E-03
-75.600E-03,-7.294E-03
-75.500E-03,-4.540E-03
-75.400E-03,-7.588E-03
-75.300E-03,-7.748E-03
-75.200E-03,-4.408E-03
-75.100E-03,-5.350E-03
-75.000E-03,-7.555E-03
-74.900E-03,-4.377E-03
-74.800E-03,-2.626E-03
-74.700E-03,-8.040E-03
-74.600E-03,-4.020E-03
-74.500E-03,-4.441E-03
-74.400E-03,-7.779E-03
-74.300E-03,-7.488E-03
-74.200E-03,-7.907E-03
-74.100E-03,-2.495E-03
-74.000E-03,-1.006E-03
-73.900E-03,-3.533E-03
-73.800E-03,-4.082E-03
-73.700E-03,-2.921E-03
-73.600E-03,-3.078E-03
-73.500E-03,-2.433E-03
-73.400E-03,-382E-06
-73.300E-03,-5.248E-03
-73.200E-03,-2.265E-03
-73.100E-03,-1.651E-03
-73.000E-03,-5.710E-03
-72.900E-03,-2.663E-03
-72.800E-03,-3.207E-03
-72.700E-03,-3.431E-03
-72.600E-03,-5.806E-03
-72.500E-03,+1.398E-03
-72.400E-03,-4.256E-03
-72.300E-03,-2.470E-03
-72.200E-03,-4.020E-03
-72.100E-03,-6.030E-03
-72.000E-03,-4.661E-03
-71.900E-03,-166E-06
-71.800E-03,-4.020E-03
-71.700E-03,-29.336E-03
-71.600E-03,-3.250E-03
-71.500E-03,-4.121E-03
-71.400E-03,-4.854E-03
-71.300E-03,-1.074E-03
-71.200E-03,-1.111E-03
-71.100E-03,+1.973E-03
-71.000E-03,-4.815E-03
-70.900E-03,-4.010E-03
-70.800E-03,-3.529E-03
-70.700E-03,-2.037E-03
-70.600E-03,-1.092E-03
-70.500E-03,-5.085E-03
-70.400E-03,-5.603E-03
